from_station_id,from_station_name,to_station_id,to_station_name,train_count,sample_trains
1006,南通,1038,蚌埠,3,"K1984,K62,K94"
1007,南通西,1001,上海,10,"C3854,C3858,C3862,C3866,C3891..."
1007,南通西,1003,上海虹桥,17,"C3751,C3774,C3778,C3791,C3795..."
1007,南通西,1004,南京,9,"C3772,C3852,C3856,C3860,C3864..."
1007,南通西,1006,南通,1,G1302
1007,南通西,1014,盐城,5,"G8312,G8314,G8316,G8318,G8330"
1007,南通西,1030,合肥,1,D5562
1007,南通西,1031,合肥南,3,"D2206,D3064,D3090"
1008,启东,1006,南通,8,"D5422,D5426,D5430,D5434,D5438..."
1009,常州,1001,上海,2,"D709,G7063"
1009,常州,1003,上海虹桥,2,"G7571,G7728"
1009,常州,1004,南京,96,"1228,1462,D2282,D306,D310..."
1009,常州,1005,南京南,51,"D2212,D3006,D3010,D3014,D3022..."
1009,常州,1012,徐州东,3,"G8272,G8274,G8278"
1009,常州,1015,苏州,154,"1230,1461,D2214,D2281,D3008..."
1009,常州,1017,连云港,7,"D9508,G7390,G7586,G8262,G8264..."
1010,常州北,1001,上海,1,G7298
1010,常州北,1003,上海虹桥,13,"G125,G1251,G127,G143,G153..."
1010,常州北,1005,南京南,64,"G110,G112,G116,G120,G1204..."
1010,常州北,1016,苏州北,51,"G1202,G1212,G1226,G1234,G129..."
1011,徐州,1004,南京,8,"D308,D312,D781,K233,K359..."
1011,徐州,1013,新沂,21,"1148,1551,K1068,K1160,K1352..."
1011,徐州,1014,盐城,5,"K1144,T215,Z139,Z158,Z51"
1011,徐州,1017,连云港,1,D782
1011,徐州,1038,蚌埠,46,"1230,1461,K101,K1091,K1101..."
1011,徐州,1042,阜阳,9,"K1052,K1066,K1196,K1626,K304..."
1012,徐州东,1004,南京,1,C3693
1012,徐州东,1005,南京南,46,"G105,G107,G113,G121,G1222..."
1012,徐州东,1007,南通西,1,C3751
1012,徐州东,1009,常州,2,"G8271,G8273"
1012,徐州东,1014,盐城,12,"D5667,D5669,D5671,D5673,D5675..."
1012,徐州东,1015,苏州,1,G8277
1012,徐州东,1017,连云港,8,"D5681,D5685,D5689,G1836,G1852..."
1012,徐州东,1031,合肥南,1,G43
1012,徐州东,1035,淮南东,3,"G248,G263,G323"
1012,徐州东,1039,蚌埠南,67,"G119,G1202,G1212,G1230,G1251..."
1013,新沂,1011,徐州,19,"1150,1552,K1066,K1162,K1598..."
1013,新沂,1014,盐城,4,"K246,K420,K566,K8599"
1013,新沂,1017,连云港,13,"1148,1551,K1352,K1613,K1624..."
1014,盐城,1004,南京,6,"C3666,C3670,C3678,T7771,T7775..."
1014,盐城,1006,南通,5,"K1144,K566,K8599,Z139,Z51"
1014,盐城,1007,南通西,6,"G8291,G8311,G8313,G8315,G8317..."
1014,盐城,1011,徐州,5,"K1142,T217,Z140,Z157,Z52"
1014,盐城,1012,徐州东,12,"D5668,D5670,D5672,D5674,D5676..."
1014,盐城,1013,新沂,4,"K245,K419,K564,K8600"
1014,盐城,1017,连云港,8,"G2060,G2632,G482,G8292,G8312..."
1015,苏州,1001,上海,111,"1230,1461,D308,D312,D9507..."
1015,苏州,1002,上海南,11,"K1091,K1511,K1805,K335,K469..."
1015,苏州,1003,上海虹桥,56,"D2214,D2281,D3008,D3012,D3016..."
1015,苏州,1004,南京,12,"D710,G7036,G7046,G7050,G7108..."
1015,苏州,1005,南京南,9,"G7132,G7136,G7144,G7148,G7168..."
1015,苏州,1009,常州,158,"1228,1462,D2212,D2282,D3006..."
1015,苏州,1022,杭州,3,"T114,Z178,Z88"
1016,苏州北,1001,上海,5,"G129,G441,G7275,G7294,G7299"
1016,苏州北,1003,上海虹桥,76,"G101,G107,G113,G117,G1202..."
